nodeID nodeLabel nodeLat nodeLong
0 abbeyroad 51.531951985733 0.0037377856069111
1 westham 51.52852551818 0.0053318072586749
2 actoncentral 51.508757812012 -0.26341579231596
3 willesdenjunction 51.532233992929 -0.2438947288224
4 actontown 51.503071476856 -0.2802882961706
5 chiswickpark 51.494370746332 -0.26772251965492
6 turnhamgreen 51.495181971972 -0.25451016527384
7 aldgate 51.514342387502 -0.075612503707184
8 liverpoolstreet 51.517598273919 -0.082235212309326
9 aldgateeast 51.515081631079 -0.072987053548915
10 whitechapel 51.519587792346 -0.059406074587337
11 allsaints 51.510476925464 -0.012610477634
12 poplar 51.507588072081 -0.017261086484836
13 alperton 51.541209310632 -0.2995013414547
14 parkroyal 51.526834054645 -0.28491450496891
15 amersham 51.674129392062 -0.60649933056891
16 chalfont&latimer 51.667907547721 -0.56105332039672
17 anerley 51.412516725364 -0.065122723194277
18 norwoodjunction 51.396954330829 -0.075195484483074
19 angel 51.532968028132 -0.10556703413728
20 oldstreet 51.525581481862 -0.087608545343845
21 archway 51.565490550156 -0.13510715160572
22 tufnellpark 51.556440814333 -0.13772775294192
23 arnosgrove 51.616230157665 -0.13425577761924
24 southgate 51.63237586338 -0.12775560097809
25 arsenal 51.558541388156 -0.10548551071377
26 finsburypark 51.564635458062 -0.10586706135916
27 bakerstreet 51.523129639184 -0.15688978273689
28 bondstreet 51.513797542631 -0.14959920109132
29 edgwareroad(circleline) 51.51999806318 -0.1676538436008
30 greatportlandstreet 51.52378881305 -0.14394701338886
31 regentspark 51.52381069054 -0.14532999904559
32 balham 51.443182580239 -0.15267077683302
33 tootingbec 51.435838083172 -0.15968610811001
34 bank 51.513347072699 -0.088985715325045
35 londonbridge 51.504674357597 -0.085991192281661
36 shadwell 51.51130016173 -0.056904799137598
37 barbican 51.520215295016 -0.097707167852645
38 farringdon 51.520195700647 -0.10482865117184
39 moorgate 51.518437149414 -0.08900327764505
40 barking 51.539521102884 0.0808460268962
41 upney 51.538405634701 0.10154616057314
42 barkingside 51.585850602534 0.088491071171579
43 fairlop 51.59610953153 0.090607714208087
44 baronscourt 51.490228707652 -0.21341574380466
45 earlscourt 51.491356695274 -0.19429940765557
46 westkensington 51.490109387233 -0.20618929345907
47 bayswater 51.512111310915 -0.18788716574986
48 nottinghillgate 51.509375359878 -0.1959072111467
49 paddington 51.515393806532 -0.17572234283505
50 becktonpark 51.508900786453 0.054836346093653
51 cyprus 51.508526572883 0.063855162939039
52 becontree 51.539585393148 0.12689470862039
53 dagenhamheathway 51.541211772284 0.14769413756505
54 belsizepark 51.550190897304 -0.1639600723677
55 chalkfarm 51.544149104848 -0.15371865256093
56 bermondsey 51.497960787629 -0.064315686265478
57 canadawater 51.498168417556 -0.05079271714472
58 bethnalgreen 51.527191747482 -0.055377698622437
59 mileend 51.525310973905 -0.032651671918221
60 blackfriars 51.511586939902 -0.10298097717171
61 mansionhouse 51.512091761163 -0.094183249527509
62 blackhorseroad 51.585776631411 -0.039611280026926
63 walthamstowcentral 51.583018115291 -0.019926114372123
64 walthamstowqueensroad 51.581546193899 -0.0238295131434
65 blackwall 51.507831540895 -0.0072207589795153
66 eastindia 51.508684006054 -0.0023559243798497
67 greenpark 51.506760501463 -0.14246316907526
68 oxfordcircus 51.515223419245 -0.14082176208955
69 borough 51.501048880447 -0.094182918403389
70 elephant&castle 51.495849394281 -0.10072431173602
71 bostonmanor 51.495765574642 -0.32473278589022
72 northfields 51.500491708619 -0.31505041439224
73 boundsgreen 51.607031935983 -0.12416262739225
74 bowchurch 51.527615205643 -0.020485486059214
75 devonsroad 51.522258469272 -0.017993342742124
76 bowroad 51.527041809222 -0.024345177705763
77 bromley-by-bow 51.52484020109 -0.01166796209473
78 brentcross 51.576599240756 -0.21332141198154
79 goldersgreen 51.572215556655 -0.19482013198437
80 brixton 51.462736815606 -0.11453770490964
81 stockwell 51.472159270341 -0.12283190859196
82 brockley 51.464749666688 -0.03773385721419
83 honoroakpark 51.450648245652 -0.044138732242293
84 newcrossgate 51.475264932486 -0.039514655295107
85 brondesbury 51.545262386773 -0.20282406710345
86 westhampstead 51.547474356007 -0.19111216622603
87 brondesburypark 51.540325391085 -0.21045952961905
88 buckhursthill 51.626576654655 0.046726985755
89 loughton 51.641570470369 0.055293528321119
90 burntoak 51.602551943784 -0.26431627556888
